,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 70,TF Blade,1956,Defeat,24,224,13702,17,27
Match 71,TF Blade,1656,Victory,24,171,11932,15,21
Match 72,TF Blade,1979,Defeat,39,230,15116,17,45
Match 73,TF Blade,2217,Defeat,24,267,19580,18,36
Match 74,TF Blade,2253,Defeat,89,36,9188,14,73
Match 75,TF Blade,1413,Victory,121,31,9544,14,31
Match 76,TF Blade,2259,Defeat,13,262,14904,18,36
Match 77,TF Blade,1932,Victory,150,229,15927,17,37
Match 78,TF Blade,1032,Victory,24,143,8935,12,10
Match 79,TF Blade,1460,Victory,39,182,13304,15,31
Match 80,TF Blade,1463,Defeat,150,144,7037,13,11
Match 81,TF Blade,1270,Victory,24,169,8099,13,27
Match 82,TF Blade,2049,Victory,24,246,16011,18,40
Match 83,TF Blade,1540,Victory,121,31,10597,13,33
Match 84,TF Blade,1740,Victory,58,188,12983,16,17
Match 85,TF Blade,1498,Defeat,2,30,11275,13,24
Match 86,TF Blade,1756,Victory,164,212,13530,17,26
Match 87,TF Blade,1705,Defeat,58,254,13077,16,28
Match 88,TF Blade,2287,Defeat,39,251,19268,18,41
Match 89,TF Blade,1570,Victory,24,215,12678,16,27
Match 90,TF Blade,1552,Defeat,164,160,10034,14,13
Match 91,TF Blade,1761,Defeat,24,154,7646,13,26
Match 92,TF Blade,1742,Victory,24,174,16848,16,30
Match 93,TF Blade,2250,Defeat,24,291,18276,18,37
Match 94,TF Blade,1923,Victory,154,43,12316,17,27
Match 95,TF Blade,1606,Defeat,24,179,9997,14,8
Match 96,TF Blade,2166,Victory,24,271,21587,18,35
Match 97,TF Blade,1614,Defeat,120,53,8626,13,27
Match 1,TF Blade,1503,Victory,245,27,12272,14,21
Match 2,TF Blade,1538,Defeat,33,120,8158,12,19
Match 3,TF Blade,2032,Victory,120,40,14408,17,24
Match 4,TF Blade,956,Victory,2,38,9253,13,19
Match 5,TF Blade,1647,Defeat,115,185,10041,12,17
Match 6,TF Blade,1336,Defeat,23,156,8293,13,16
Match 7,TF Blade,1759,Victory,120,42,14320,17,26
Match 8,TF Blade,1424,Defeat,121,21,9649,13,24
Match 9,TF Blade,1624,Victory,120,32,13378,16,38
Match 10,TF Blade,1633,Victory,30,50,13981,16,32
Match 11,TF Blade,628,Defeat,121,4,3813,8,6
Match 12,TF Blade,1483,Victory,121,28,11002,14,20
Match 13,TF Blade,1436,Defeat,54,96,6298,12,21
Match 14,TF Blade,1753,Victory,24,48,12825,16,26
Match 15,TF Blade,1214,Victory,120,15,6894,12,19
Match 16,TF Blade,1605,Victory,121,66,12471,16,31
Match 17,TF Blade,1691,Defeat,24,153,8274,13,11
Match 18,TF Blade,1785,Defeat,24,217,10588,15,12
Match 19,TF Blade,2170,Victory,33,52,15297,18,23
Match 20,TF Blade,1515,Defeat,29,8,6983,10,38
Match 21,TF Blade,942,Victory,120,4,6488,10,15
Match 22,TF Blade,1831,Defeat,24,252,13583,16,17
Match 23,TF Blade,1771,Defeat,58,183,8956,15,12
Match 24,TF Blade,1480,Victory,24,169,15554,15,20
Match 25,TF Blade,1521,Defeat,39,179,11816,14,13
Match 26,TF Blade,1653,Defeat,24,220,13419,16,22
Match 27,TF Blade,1323,Defeat,23,123,7272,12,10
Match 28,TF Blade,1691,Victory,58,224,14204,16,22
Match 29,TF Blade,1855,Victory,164,205,13423,17,43
Match 30,TF Blade,1216,Victory,24,162,9090,13,17
Match 31,TF Blade,2023,Defeat,23,282,14738,18,29
Match 32,TF Blade,1656,Victory,164,151,10308,14,36
Match 33,TF Blade,1390,Victory,58,184,11031,14,21
Match 34,TF Blade,2146,Defeat,75,231,14379,17,24
Match 35,TF Blade,1497,Defeat,75,192,9832,14,16
Match 36,TF Blade,1821,Victory,24,229,12807,15,25
Match 37,TF Blade,1285,Defeat,8,141,6424,12,11
Match 38,TF Blade,1749,Victory,39,247,15165,17,28
Match 39,TF Blade,1326,Victory,75,189,11868,15,23
Match 40,TF Blade,1269,Defeat,24,168,7720,12,11
Match 41,TF Blade,1219,Victory,24,163,11860,15,18
Match 42,TF Blade,1538,Defeat,58,172,8514,13,22
Match 43,TF Blade,1779,Victory,24,225,14697,18,30
Match 44,TF Blade,1498,Defeat,245,24,8942,13,16
Match 45,TF Blade,1629,Defeat,115,181,11486,15,21
Match 46,TF Blade,2334,Defeat,164,275,16437,18,40
Match 47,TF Blade,1489,Defeat,59,30,8201,12,28
Match 48,TF Blade,1973,Victory,121,24,12679,16,37
Match 49,TF Blade,2127,Defeat,23,345,17341,18,38
Match 50,TF Blade,1911,Defeat,24,276,15030,16,15
Match 51,TF Blade,1439,Defeat,58,152,8461,12,12
Match 52,TF Blade,1245,Victory,58,192,9402,14,14
Match 53,TF Blade,1899,Victory,24,261,15116,17,28
Match 54,TF Blade,1956,Defeat,8,181,10798,16,17
Match 55,TF Blade,1594,Defeat,39,202,13606,15,22
Match 56,TF Blade,1401,Defeat,58,161,8087,12,23
Match 57,TF Blade,1406,Victory,164,187,11941,14,22
Match 58,TF Blade,2107,Victory,24,246,17561,18,42
Match 59,TF Blade,2444,Defeat,245,298,15308,18,39
Match 60,TF Blade,1121,Victory,58,196,9621,13,15
Match 61,TF Blade,196,Victory,24,12,1086,2,0
Match 62,TF Blade,1460,Victory,86,218,13331,16,21
Match 63,TF Blade,1709,Defeat,8,201,10156,15,13
Match 64,TF Blade,1215,Victory,58,150,8624,12,19
Match 65,TF Blade,1368,Victory,24,161,11319,14,16
Match 66,TF Blade,1865,Victory,86,230,15523,17,22
Match 67,TF Blade,1287,Defeat,8,145,7818,12,11
Match 68,TF Blade,1836,Victory,24,208,16772,17,23
Match 69,TF Blade,968,Victory,24,116,6206,11,4
Match 70,TF Blade,2170,Defeat,24,260,16883,18,40
Match 71,TF Blade,884,Victory,24,115,8023,11,9
Match 72,TF Blade,998,Victory,24,127,6458,11,12
Match 73,TF Blade,1910,Defeat,24,206,14609,15,21
Match 74,TF Blade,2675,Defeat,24,308,21056,18,46
Match 75,TF Blade,1721,Defeat,24,208,13376,16,13
Match 76,TF Blade,969,Defeat,24,75,6371,10,15
Match 77,TF Blade,1412,Victory,58,200,12049,15,14
Match 78,TF Blade,1422,Defeat,24,170,10718,14,21
Match 79,TF Blade,1801,Defeat,24,237,16841,17,13
Match 80,TF Blade,2384,Defeat,24,260,17321,18,29
Match 81,TF Blade,1399,Defeat,24,142,8086,12,19
Match 82,TF Blade,1589,Defeat,24,185,11597,15,28
Match 83,TF Blade,1358,Defeat,54,120,5806,11,17
Match 84,TF Blade,1452,Defeat,86,160,7621,13,13
Match 85,TF Blade,1028,Victory,58,142,8104,11,15
Match 86,TF Blade,1008,Victory,24,146,8943,12,14
Match 87,TF Blade,1865,Defeat,58,231,12590,17,27
Match 88,TF Blade,1668,Defeat,39,186,10521,14,16
Match 89,TF Blade,2052,Victory,24,229,18129,17,28
Match 90,TF Blade,1769,Defeat,75,196,12278,15,25
Match 91,TF Blade,1792,Victory,24,207,18455,17,26
Match 92,TF Blade,1623,Victory,24,204,13885,16,27
Match 93,TF Blade,929,Defeat,39,81,5174,9,7
Match 94,TF Blade,1842,Defeat,39,251,13911,16,34
Match 95,TF Blade,915,Victory,24,114,7405,11,8
Match 96,TF Blade,1329,Defeat,24,169,12407,15,19
Match 1,TF Blade,1536,Defeat,236,187,11912,15,33
Match 2,TF Blade,1124,Victory,24,116,8282,12,9
Match 3,TF Blade,2228,Defeat,245,222,14132,17,20
Match 4,TF Blade,2064,Victory,33,36,18368,18,21
Match 5,TF Blade,1857,Victory,24,202,15551,17,29
Match 6,TF Blade,1096,Victory,24,145,9066,12,11
Match 7,TF Blade,1431,Victory,39,193,11174,15,11
Match 8,TF Blade,2110,Victory,120,36,12956,17,45
Match 9,TF Blade,2001,Victory,81,189,12286,15,22
Match 10,TF Blade,945,Victory,58,144,8284,12,12
Match 11,TF Blade,1223,Defeat,24,156,6811,13,12
Match 12,TF Blade,1930,Victory,24,254,17553,18,35
Match 13,TF Blade,1541,Victory,24,194,13779,15,16
Match 14,TF Blade,1616,Defeat,24,222,13324,15,21
Match 15,TF Blade,1854,Victory,33,111,11704,14,26
Match 16,TF Blade,1666,Defeat,39,214,12048,13,11
Match 17,TF Blade,1975,Defeat,24,193,11759,16,32
Match 18,TF Blade,1835,Victory,24,213,15894,17,34
Match 19,TF Blade,1656,Defeat,89,34,6582,11,48
Match 20,TF Blade,1614,Victory,24,187,11128,15,23
Match 21,TF Blade,1591,Victory,39,218,16012,16,23
