,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 34,Controleed Freak,1997,Defeat,245,42,12097,15,34
Match 35,Controleed Freak,1377,Defeat,157,173,6990,12,15
Match 36,Controleed Freak,1109,Defeat,360,110,6449,10,10
Match 37,Controleed Freak,1274,Victory,114,131,12030,13,17
Match 38,Controleed Freak,1929,Defeat,238,180,14756,15,30
Match 39,Controleed Freak,2020,Victory,202,233,15614,16,23
Match 40,Controleed Freak,2020,Defeat,157,229,15446,16,24
Match 41,Controleed Freak,1075,Defeat,76,19,5612,10,8
Match 42,Controleed Freak,1497,Victory,98,147,11505,14,10
Match 43,Controleed Freak,2017,Defeat,92,202,15011,17,19
Match 44,Controleed Freak,1828,Victory,360,184,15115,17,23
Match 45,Controleed Freak,1280,Victory,238,166,11677,13,10
Match 46,Controleed Freak,1338,Defeat,39,150,6933,13,17
Match 47,Controleed Freak,1709,Defeat,67,168,9572,13,11
Match 48,Controleed Freak,1586,Victory,245,39,14086,15,15
Match 49,Controleed Freak,1356,Defeat,92,122,6634,11,12
Match 50,Controleed Freak,2692,Defeat,145,184,18580,18,21
Match 51,Controleed Freak,1717,Defeat,114,190,11800,16,15
Match 52,Controleed Freak,2016,Victory,238,242,18681,18,21
Match 53,Controleed Freak,1027,Victory,92,151,8353,12,4
Match 54,Controleed Freak,1319,Victory,360,123,11446,12,20
Match 55,Controleed Freak,1356,Victory,157,169,12144,15,16
Match 56,Controleed Freak,1441,Victory,266,154,12476,15,5
Match 57,Controleed Freak,1943,Defeat,86,173,13150,15,28
