,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 52,Ender Dragon 3,1290,Defeat,157,157,6429,12,12
Match 53,Ender Dragon 3,962,Victory,157,158,8494,12,5
Match 54,Ender Dragon 3,1790,Defeat,54,169,10035,15,11
Match 55,Ender Dragon 3,1507,Defeat,157,142,10234,14,7
Match 56,Ender Dragon 3,1327,Victory,157,140,9881,13,15
Match 57,Ender Dragon 3,1292,Defeat,157,144,7802,12,6
Match 58,Ender Dragon 3,1840,Defeat,157,222,10794,15,11
Match 59,Ender Dragon 3,1490,Victory,157,182,9417,14,18
Match 60,Ender Dragon 3,197,Defeat,92,5,769,3,0
Match 61,Ender Dragon 3,2664,Defeat,103,183,15778,18,19
Match 62,Ender Dragon 3,1289,Defeat,157,145,7422,12,3
Match 63,Ender Dragon 3,1572,Defeat,157,122,7947,13,10
Match 64,Ender Dragon 3,2750,Defeat,238,197,17655,18,29
Match 65,Ender Dragon 3,1389,Defeat,157,169,7075,12,7
Match 66,Ender Dragon 3,1452,Defeat,157,163,8516,13,8
Match 67,Ender Dragon 3,1624,Victory,157,187,12266,15,13
Match 68,Ender Dragon 3,1361,Victory,157,130,11195,14,14
Match 69,Ender Dragon 3,1635,Defeat,157,175,10705,14,14
Match 70,Ender Dragon 3,1829,Victory,157,231,14064,18,14
Match 71,Ender Dragon 3,1279,Victory,157,134,10353,13,11
Match 72,Ender Dragon 3,1731,Defeat,157,217,11614,15,12
Match 73,Ender Dragon 3,1648,Defeat,266,161,10942,14,12
Match 74,Ender Dragon 3,983,Victory,157,140,8315,12,6
Match 75,Ender Dragon 3,1879,Defeat,157,203,12737,15,14
Match 1,Ender Dragon 3,1581,Defeat,266,174,9229,14,16
Match 2,Ender Dragon 3,1850,Defeat,86,227,10914,16,10
Match 3,Ender Dragon 3,1710,Victory,157,165,16775,16,11
Match 4,Ender Dragon 3,1997,Victory,39,258,12964,16,10
Match 5,Ender Dragon 3,1469,Victory,58,158,12833,15,15
Match 6,Ender Dragon 3,928,Defeat,39,99,4837,9,4
Match 7,Ender Dragon 3,1572,Defeat,39,155,10988,13,4
Match 8,Ender Dragon 3,1660,Victory,157,188,15641,16,17
Match 9,Ender Dragon 3,1220,Victory,157,117,9408,12,13
Match 10,Ender Dragon 3,2408,Defeat,92,269,26518,18,17
