,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 66,Adrian Riven,1760,Victory,2,198,12516,16,16
Match 67,Adrian Riven,2201,Victory,92,255,18789,18,19
Match 68,Adrian Riven,1747,Defeat,92,200,11640,15,21
Match 69,Adrian Riven,1983,Defeat,114,171,12282,16,17
Match 70,Adrian Riven,1293,Victory,92,142,10207,12,7
Match 71,Adrian Riven,1149,Defeat,92,114,6701,11,5
Match 72,Adrian Riven,2471,Defeat,114,282,17420,18,37
Match 73,Adrian Riven,1671,Victory,64,184,11186,15,7
Match 74,Adrian Riven,1605,Defeat,92,181,8495,13,21
Match 75,Adrian Riven,925,Victory,92,105,7865,11,4
Match 76,Adrian Riven,944,Victory,64,104,6173,10,4
Match 77,Adrian Riven,1234,Victory,164,116,10227,13,8
Match 78,Adrian Riven,1295,Defeat,92,105,6353,11,16
Match 79,Adrian Riven,1265,Victory,2,149,10940,13,9
Match 80,Adrian Riven,1899,Victory,114,174,14365,17,28
Match 81,Adrian Riven,1118,Victory,2,99,8250,11,7
Match 82,Adrian Riven,1866,Victory,54,158,10282,16,14
Match 83,Adrian Riven,1554,Victory,92,196,14729,16,13
Match 84,Adrian Riven,1633,Defeat,114,157,8680,14,13
Match 85,Adrian Riven,1422,Victory,92,136,11428,14,19
Match 1,Adrian Riven,1402,Victory,2,195,11332,14,8
Match 2,Adrian Riven,2142,Victory,58,231,14311,17,37
Match 3,Adrian Riven,1195,Victory,114,132,7625,12,14
Match 4,Adrian Riven,2264,Defeat,92,231,14385,18,26
Match 5,Adrian Riven,1470,Defeat,92,160,10426,14,25
Match 6,Adrian Riven,2065,Victory,92,214,18168,18,16
Match 7,Adrian Riven,1921,Defeat,92,194,17240,16,21
Match 8,Adrian Riven,1658,Defeat,92,180,11415,15,8
Match 9,Adrian Riven,1793,Victory,92,190,12557,16,24
Match 10,Adrian Riven,981,Victory,92,130,7468,12,13
Match 11,Adrian Riven,1575,Victory,92,188,9779,15,13
Match 12,Adrian Riven,1569,Defeat,92,134,8484,12,9
Match 13,Adrian Riven,1756,Defeat,92,174,8608,14,15
Match 14,Adrian Riven,1859,Victory,92,187,13069,16,27
Match 15,Adrian Riven,1766,Victory,92,168,13504,16,13
Match 16,Adrian Riven,2692,Defeat,92,225,15519,18,33
Match 17,Adrian Riven,1601,Victory,92,186,13231,16,9
Match 18,Adrian Riven,2253,Defeat,92,248,18720,18,24
Match 19,Adrian Riven,2893,Victory,164,272,17408,18,33
Match 20,Adrian Riven,2489,Victory,92,213,16237,18,22
Match 21,Adrian Riven,1741,Defeat,92,194,10448,14,18
Match 22,Adrian Riven,1923,Victory,92,222,14342,17,15
Match 23,Adrian Riven,3056,Victory,164,356,19555,18,36
Match 24,Adrian Riven,1280,Defeat,92,149,8342,13,16
Match 25,Adrian Riven,2397,Defeat,92,241,14767,17,32
Match 26,Adrian Riven,1424,Defeat,114,147,7571,13,5
Match 27,Adrian Riven,1683,Defeat,92,172,10782,14,23
Match 28,Adrian Riven,1919,Victory,92,257,17059,17,29
Match 29,Adrian Riven,1655,Defeat,127,161,9674,13,25
Match 30,Adrian Riven,1327,Defeat,92,149,8646,12,8
Match 31,Adrian Riven,1397,Defeat,92,183,9197,13,24
Match 32,Adrian Riven,1356,Victory,92,223,12891,16,17
Match 33,Adrian Riven,1147,Victory,92,159,10056,13,6
Match 34,Adrian Riven,1956,Defeat,58,183,13143,16,15
Match 35,Adrian Riven,1980,Defeat,58,205,12196,16,19
Match 36,Adrian Riven,1280,Victory,92,154,13963,14,5
Match 37,Adrian Riven,1741,Defeat,120,20,10694,14,11
Match 38,Adrian Riven,1284,Defeat,92,161,8909,13,12
Match 39,Adrian Riven,1249,Defeat,114,101,5697,11,7
Match 40,Adrian Riven,2074,Defeat,92,202,15405,16,8
Match 41,Adrian Riven,1837,Victory,35,81,9691,14,3
Match 42,Adrian Riven,1957,Defeat,39,255,15259,15,15
Match 43,Adrian Riven,213,Victory,41,15,1289,4,0
Match 44,Adrian Riven,1845,Victory,64,120,13803,15,17
Match 45,Adrian Riven,1722,Defeat,157,191,12504,15,3
Match 46,Adrian Riven,1543,Defeat,238,174,9840,14,17
Match 47,Adrian Riven,1960,Victory,114,221,13403,17,22
Match 48,Adrian Riven,1719,Defeat,92,157,14362,14,24
Match 49,Adrian Riven,1923,Defeat,114,166,9711,14,15
Match 50,Adrian Riven,1606,Victory,92,217,12783,16,22
Match 51,Adrian Riven,1504,Victory,92,137,9121,14,17
Match 52,Adrian Riven,1479,Victory,92,170,11139,15,20
Match 53,Adrian Riven,1503,Defeat,114,142,12322,13,24
Match 54,Adrian Riven,1538,Victory,92,199,12858,15,16
Match 55,Adrian Riven,1859,Victory,114,165,17351,16,13
Match 56,Adrian Riven,1247,Victory,64,123,11066,13,4
Match 57,Adrian Riven,1641,Defeat,164,181,9311,14,20
Match 58,Adrian Riven,1311,Victory,92,200,11737,15,10
Match 59,Adrian Riven,1424,Defeat,58,135,8761,12,11
Match 60,Adrian Riven,1624,Victory,114,151,9170,15,14
Match 61,Adrian Riven,1633,Victory,92,195,11637,15,17
Match 62,Adrian Riven,1413,Defeat,92,115,7190,12,16
Match 63,Adrian Riven,1569,Victory,114,194,15903,16,13
Match 64,Adrian Riven,951,Victory,92,124,8590,12,12
Match 65,Adrian Riven,1212,Victory,92,150,10024,13,7
Match 66,Adrian Riven,1834,Victory,114,157,16475,16,18
Match 67,Adrian Riven,1466,Victory,114,157,10750,15,12
Match 68,Adrian Riven,1660,Defeat,92,145,9205,13,10
Match 69,Adrian Riven,2071,Victory,58,177,16486,18,35
Match 70,Adrian Riven,2375,Victory,92,234,16614,18,35
Match 71,Adrian Riven,1258,Victory,92,132,10651,13,17
Match 72,Adrian Riven,1616,Victory,92,172,16146,16,10
Match 73,Adrian Riven,2240,Victory,92,199,16079,18,23
Match 74,Adrian Riven,1452,Victory,43,16,8469,12,20
Match 75,Adrian Riven,1153,Defeat,12,30,4919,9,10
Match 76,Adrian Riven,1663,Victory,80,48,9675,13,26
