,Summoner Name,Game Duration,Match Result,Champion ID,Creep Score,Gold Earned,Champion Level,Vision Score
Match 340,cyrs7,1733,Defeat,117,26,8599,12,61
Match 341,cyrs7,1611,Defeat,267,9,5540,11,54
Match 342,cyrs7,1875,Victory,267,17,8628,14,72
Match 343,cyrs7,2106,Defeat,99,60,9795,14,60
Match 344,cyrs7,900,Victory,267,4,4098,8,19
Match 345,cyrs7,1080,Victory,11,7,5444,10,22
Match 346,cyrs7,2146,Victory,267,23,9893,15,96
Match 347,cyrs7,1791,Defeat,99,45,7604,13,45
Match 348,cyrs7,1708,Victory,117,31,8589,14,68
Match 349,cyrs7,1988,Defeat,267,27,7057,12,79
Match 350,cyrs7,1357,Victory,50,20,6753,10,38
Match 351,cyrs7,1428,Victory,117,9,7747,11,48
Match 352,cyrs7,2154,Defeat,267,20,8920,15,73
Match 353,cyrs7,2234,Victory,267,17,9220,14,88
Match 354,cyrs7,2293,Defeat,99,55,10548,15,67
Match 355,cyrs7,1416,Victory,267,8,7687,13,47
Match 356,cyrs7,1003,Victory,267,9,5029,8,26
Match 357,cyrs7,1272,Defeat,25,11,4975,9,30
Match 358,cyrs7,1414,Victory,117,7,7551,12,41
Match 359,cyrs7,2386,Defeat,25,57,10652,14,96
Match 360,cyrs7,2081,Victory,40,20,11839,17,83
Match 361,cyrs7,2013,Victory,40,21,9427,14,74
Match 362,cyrs7,1783,Victory,267,18,9098,14,68
Match 363,cyrs7,1981,Defeat,267,12,7802,13,76
Match 364,cyrs7,2528,Defeat,40,9,10452,16,86
Match 365,cyrs7,1051,Victory,267,5,5888,10,27
Match 366,cyrs7,1893,Victory,99,31,7926,13,61
Match 367,cyrs7,1595,Victory,267,8,7422,12,53
Match 368,cyrs7,2089,Victory,117,24,11974,15,59
Match 369,cyrs7,2004,Defeat,267,13,7785,13,60
Match 370,cyrs7,1249,Victory,99,7,5027,10,33
Match 371,cyrs7,1469,Victory,99,11,7721,12,52
Match 372,cyrs7,1868,Defeat,267,25,7291,14,44
Match 373,cyrs7,1501,Defeat,99,112,6118,11,17
Match 374,cyrs7,988,Defeat,350,3,3472,9,9
Match 375,cyrs7,2180,Victory,25,32,9321,15,86
Match 376,cyrs7,1749,Victory,40,14,8067,13,72
Match 377,cyrs7,1451,Victory,99,12,7918,11,47
Match 378,cyrs7,1631,Defeat,267,8,7184,12,46
Match 379,cyrs7,1294,Defeat,267,3,3948,9,21
Match 380,cyrs7,2018,Victory,267,13,8824,15,65
Match 381,cyrs7,2546,Defeat,99,67,12849,16,95
Match 382,cyrs7,1719,Victory,25,37,8080,13,51
Match 383,cyrs7,1541,Victory,267,13,6939,12,42
Match 384,cyrs7,1430,Victory,267,6,7363,13,43
Match 385,cyrs7,1742,Victory,40,7,7842,13,61
Match 386,cyrs7,1742,Victory,267,8,8969,14,45
Match 387,cyrs7,1614,Defeat,267,8,5653,12,44
Match 388,cyrs7,2054,Victory,267,11,9682,15,80
Match 389,cyrs7,1994,Victory,267,10,10505,16,69
Match 390,cyrs7,1223,Defeat,25,6,4037,9,19
Match 391,cyrs7,1980,Victory,25,35,9792,15,72
Match 392,cyrs7,2222,Defeat,25,36,9604,14,77
Match 393,cyrs7,2143,Victory,25,39,11715,16,82
Match 394,cyrs7,2398,Defeat,25,41,9595,15,93
